id,images,title,region
_001,_001.jpg,Nath,north
_002,_002.jpg,Pagdi,north
_003,_003.jpg,Rajasthani gold jwellery,north
_004,_004.jpg,Sarafa,north
_005,_005.jpg,Rajashthani Gota Saree and Mens Kurta,north
_006,_006.jpg,White cotton shirt,north
_007,_007.jpg,Kashmiri Shawl and scarf,north
_008,_008.jpg,Dhoti and Kurta ,north
_009,_009.jpg,Silk Saree and White kurta,north
_010,_010.jpg,Ladakh tradition dress,north
_011,_011.jpg,Rajasthani Ghagra,north
_012,_012.jpg,Rajasthani Bandhej lehenga,north
_013,_013.jpg,Rajasthani Rajputi lehenga,north
_014,_014.jpg,Jaipuri cotton lehenga,north
_015,_015.jpg,Rajasthani dulhan lehenga,north
_016,_016.jpg,Jaipuri gota patti lehenga,north
_017,_017.jpg,Traditional Rajasthani lehenga,north
_018,_018.jpg,Rajasthani cotton lehenga choli,north
_019,_019.jpg,Rajasthani angrakha turban,north
_020,_020.jpg,Sherwani,north
_021,_021.jpg,Bhagarpuri Silk saree,north
_022,_022.jpg,Royal Sherwani,north
_023,_023.jpg,Kurta Red,north
_024,_024.jpg,Tussar Silk Saree,north
_025,_025.jpg,Yellow kurti,north
_026,_026.jpg,Royal attire green,north
_027,_027.jpg,Blue Patiala Dress,north
_028,_028.jpg,Kashmir pehran,north
_029,_029.jpg,Rajasthani lehanga,north
_030,_030.jpg,White shirt,north
_031,_031.jpg,Banarasi saree,north
_032,_032.jpg,Ladakh tradition couple dress,north
_033,_033.jpg,Ladakh changpa,north
_034,_034.jpg,Taranga Kashmir,north
_035,_035.jpg,Phera Kashmir,north
_036,_036.jpg,Kasaba kashmir,north
_037,_037.jpg,Headgear Kashmir,north
_038,_038.jpg,Gujjars Kashmir,north
_039,_039.jpg,Headdress Ladakh,north
_040,_040.jpg,Green saree,north
_041,_041.jpg,Jaipuri lehenga choli for wedding,north
_042,_042.jpg,Rajasthani cotton lehenga choli,north
_043,_043.jpg,UP Saree,north
_044,_044.jpg,Up saree 2,north
_045,_045.jpg,UP Saree 3,north
_046,_046.jpg,UP saree 4,north
_047,_047.jpg,Short Kurti Blue,north
_048,_048.jpg,Salwar Kameez,north
_049,_049.jpg,Saree red and white,north
_051,_051.jpg,Kerala Dhoti-Shirt,south
_052,_052.jpg,Kerala Mundu Saree,south
_053,_053.jpg,Andhra Pradesh langa-voni,south
_054,_054.jpg,Kerala Dhoti,south
_055,_055.jpg,Orissa sambalpuri saree,south
_056,_056.jpg,Tamil Nadu Saree,south
_057,_057.jpg,Tamil Nadu Pavada,south
_058,_058.jpg,Maharashtra Nauvari Saree,south
_059,_059.jpg,Maharashtra Nauvari Saree,south
_060,_060.jpg,Kerela mundu men,south
_061,_061.jpg,Kerela mundu ,south
_062,_062.jpg,Kerala Mundu and Neraithi saree,south
_063,_063.jpg,Kerela Mundu and Neraithi saree,south
_064,_064.jpg,Tamil Nadu Kurti and lehanga,south
_065,_065.jpg,Tamil Nadu saree,south
_066,_066.jpg,Tamil Nadu saree,south
_067,_067.jpg,Chattisgarh_tribal,south
_068,_068.jpg,Begali Dhoti,east
_069,_069.jpg,Bengali  Couple Saree and Dhoti-Kurta,east
_070,_070.jpg,Bengali Dhoti,east
_071,_071.jpg,Bengali Dhoti,east
_072,_072.jpg,Bengali Saree,east
_073,_073.jpg,Bengali Saree,east
_074,_074.jpg,Bengali Saree,east
_075,_075.jpg,Bengali Saree,east
_076,_076.jpg, kurta Pajama,east
_078,_078.jpg,North-East Chakhesang,north-east
_079,_079.jpg,Nagaland Chuchuyimlang,north-east
_080,_080.jpg,Nagaland Mao_Naga_Men,north-east
_081,_081.jpg,Nagaland Mao_Naga_tribe,north-east
_082,_082.jpg,Nagaland Mao Traditional Dress,north-east
_083,_083.jpg,Naga Shawl,north-east
_084,_084.jpg,Tripura Women Traditional,north-east
_085,_085.jpg,Northeast1,north-east
_086,_086.jpg,Northeast2,north-east
_087,_087.jpg,Northeast3,north-east
_088,_088.jpg,Northeast4,north-east
_089,_089.jpg,Northeast5,north-east
_090,_090.jpg,Northeast_men,north-east
_091,_091.jpg,Northeast Shawl,north-east
_092,_092.jpg,Sikkim Traditional Dress,north-east
_093,_093.jpg,Tripura3,north-east
_094,_094.jpg,Tripura5,north-east
_095,_095.jpg,Tripura_girl3,north-east
_096,_096.jpg,Tripura_girl,north-east
_097,_097.jpg,Tripura Women Traditional,north-east
_098,_098.jpg,Tripura Women Traditional,north-east
_099,_099.jpg,Blazer ,western
_100,_100.jpg,Blue coat ,western
_101,_101.jpg,Skirt Top formal ,western
_102,_102.jpg,One piece dress ,western
_103,_103.jpg,One piece dress and cowboy shoes ,western
_104,_104.jpg,Red Black One Piece ,western
_105,_105.jpg,Jeans Top women,western
_106,_106.jpg,Kurti Jeans,western
_107,_107.jpg,Jeans Top set couple,western
_108,_108.jpg,Two piece top with jeans,western
_109,_109.jpg,Blue blazer with pants,western
_110,_110.jpg,Stylish Pant Shirt,western
_111,_111.jpg,Blue Pant and Shirt,western
_112,_112.jpg,Denim Shirt and Pants,western
_113,_113.jpg,Grey Two Piece Suit,western
_114,_114.jpg,Shirt and Jeans,western
_115,_115.jpg,Brown Blazer and pants,western
_116,_116.jpg,Grey Two Piece Formals,western
_117,_117.jpg,Black Cheque two piece Formals,western
_118,_118.jpg,Jeans Top fancy,western